run_number,percent_cohort2,cohort2_age,percent_grammar_1,eq_step,max_steps,eq_percent,type
442,75,150,20,89,1000,0.089,cohort1_equilibrium
443,75,150,30,232,1000,0.232,cohort1_equilibrium
444,75,150,35,118,1000,0.118,cohort1_equilibrium
445,75,150,40,109,1000,0.109,cohort1_equilibrium
446,75,150,45,76,1000,0.076,cohort1_equilibrium
447,75,150,50,109,1000,0.109,cohort1_equilibrium
448,75,150,60,205,1000,0.205,cohort1_equilibrium
449,75,150,70,97,1000,0.097,cohort1_equilibrium
450,75,150,80,78,1000,0.078,cohort1_equilibrium
451,75,150,90,0,1000,0,cohort1_equilibrium
452,90,150,10,0,1000,0,cohort1_equilibrium
453,90,150,20,103,1000,0.103,cohort1_equilibrium
454,90,150,30,74,1000,0.074,cohort1_equilibrium
455,90,150,35,106,1000,0.106,cohort1_equilibrium
456,90,150,40,170,1000,0.17,cohort1_equilibrium
457,90,150,45,203,1000,0.203,cohort1_equilibrium
458,90,150,50,348,1000,0.348,cohort1_equilibrium
459,90,150,60,89,1000,0.089,cohort1_equilibrium
460,90,150,70,100,1000,0.1,cohort1_equilibrium
461,90,150,80,0,1000,0,cohort1_equilibrium
462,90,150,90,47,1000,0.047,cohort1_equilibrium
463,10,300,10,47,1000,0.047,cohort1_equilibrium
464,10,300,20,84,1000,0.084,cohort1_equilibrium
465,10,300,30,140,1000,0.14,cohort1_equilibrium
466,10,300,35,120,1000,0.12,cohort1_equilibrium
467,10,300,40,93,1000,0.093,cohort1_equilibrium
468,10,300,45,118,1000,0.118,cohort1_equilibrium
469,10,300,50,72,1000,0.072,cohort1_equilibrium
470,10,300,60,95,1000,0.095,cohort1_equilibrium
471,10,300,70,104,1000,0.104,cohort1_equilibrium
472,10,300,80,82,1000,0.082,cohort1_equilibrium
473,10,300,90,65,1000,0.065,cohort1_equilibrium
474,20,300,10,58,1000,0.058,cohort1_equilibrium
475,20,300,20,75,1000,0.075,cohort1_equilibrium
476,20,300,30,116,1000,0.116,cohort1_equilibrium
477,20,300,35,133,1000,0.133,cohort1_equilibrium
478,20,300,40,130,1000,0.13,cohort1_equilibrium
479,20,300,45,621,1000,0.621,cohort1_equilibrium
480,20,300,50,76,1000,0.076,cohort1_equilibrium
481,20,300,60,199,1000,0.199,cohort1_equilibrium
482,20,300,70,116,1000,0.116,cohort1_equilibrium
483,20,300,80,79,1000,0.079,cohort1_equilibrium
484,20,300,90,2,1000,0.002,cohort1_equilibrium
485,35,300,10,51,1000,0.051,cohort1_equilibrium
486,35,300,20,70,1000,0.07,cohort1_equilibrium
487,35,300,30,135,1000,0.135,cohort1_equilibrium
488,35,300,35,137,1000,0.137,cohort1_equilibrium
489,35,300,40,732,1000,0.732,cohort1_equilibrium
490,35,300,45,49,1000,0.049,cohort1_equilibrium
491,35,300,50,220,1000,0.22,cohort1_equilibrium
492,35,300,60,274,1000,0.274,cohort1_equilibrium
493,35,300,70,98,1000,0.098,cohort1_equilibrium
494,35,300,80,94,1000,0.094,cohort1_equilibrium
495,35,300,90,57,1000,0.057,cohort1_equilibrium
496,50,300,10,55,1000,0.055,cohort1_equilibrium
497,50,300,20,72,1000,0.072,cohort1_equilibrium
498,50,300,30,92,1000,0.092,cohort1_equilibrium
499,50,300,35,142,1000,0.142,cohort1_equilibrium
