c1_percent_grammar_1,c2_percent_grammar_1,type,final_state
10,10,"Cohort 1
mean",0.00352804815643559
10,10,"Cohort 2
mean",0.00687364262853527
10,10,"Overall
mean",0.00520084539248543
20,10,"Cohort 1
mean",0.00519150022453163
20,10,"Cohort 2
mean",0.00815102084083838
20,10,"Overall
mean",0.00667126053268501
40,10,"Cohort 1
mean",0.12230286451683084
40,10,"Cohort 2
mean",0.0227417508014088
40,10,"Overall
mean",0.07252230765911978
50,10,"Cohort 1
mean",0.00465776056294869
50,10,"Cohort 2
mean",0.00623010077327514
50,10,"Overall
mean",0.00544393066811191
60,10,"Cohort 1
mean",0.00844278015263073
60,10,"Cohort 2
mean",0.00695291807942117
60,10,"Overall
mean",0.00769784911602595
80,10,"Cohort 1
mean",0.00532906608236231
80,10,"Cohort 2
mean",0.00601241578313753
80,10,"Overall
mean",0.00567074093274992
90,10,"Cohort 1
mean",0.13854638528853014
90,10,"Cohort 2
mean",0.05720726141741726
90,10,"Overall
mean",0.09787682335297372
10,10,"Cohort 1
mean",0.00496651055247589
10,10,"Cohort 2
mean",0.01001186453030062
10,10,"Overall
mean",0.00748918754138826
20,10,"Cohort 1
mean",0.01293267433342782
20,10,"Cohort 2
mean",0.0095301043322706
20,10,"Overall
mean",0.01123138933284921
40,10,"Cohort 1
mean",0.01580744129513309
40,10,"Cohort 2
mean",0.0093513300404178
40,10,"Overall
mean",0.01257938566777544
50,10,"Cohort 1
mean",0.00561879095689333
50,10,"Cohort 2
mean",0.00568743136151138
50,10,"Overall
mean",0.00565311115920235
60,10,"Cohort 1
mean",0.4455304404231116
60,10,"Cohort 2
mean",0.15600241785513352
60,10,"Overall
mean",0.30076642913912255
80,10,"Cohort 1
mean",0.12368063294278132
80,10,"Cohort 2
mean",0.00837146706286989
80,10,"Overall
mean",0.06602605000282559
90,10,"Cohort 1
mean",0.27360857745351175
90,10,"Cohort 2
mean",0.05833973206175469
90,10,"Overall
mean",0.16597415475763322
10,10,"Cohort 1
mean",0.00619288306389646
10,10,"Cohort 2
mean",0.00748472805307484
10,10,"Overall
mean",0.00683880555848565
20,10,"Cohort 1
mean",0.00610169449392943
20,10,"Cohort 2
mean",0.00690563591701415
20,10,"Overall
mean",0.00650366520547179
40,10,"Cohort 1
mean",0.00694269184022662
40,10,"Cohort 2
mean",0.0062580253797623504
40,10,"Overall
mean",0.00660035860999448
50,10,"Cohort 1
mean",0.00430399130343493
50,10,"Cohort 2
mean",0.00730582989530301
50,10,"Overall
mean",0.00580491059936897
60,10,"Cohort 1
mean",0.00971797046936331
60,10,"Cohort 2
mean",0.0082126463437394
60,10,"Overall
mean",0.00896530840655136
80,10,"Cohort 1
mean",0.598982143734296
80,10,"Cohort 2
mean",0.36458365164868234
80,10,"Overall
mean",0.48178289769148935
90,10,"Cohort 1
mean",0.00644023781326172
90,10,"Cohort 2
mean",0.00659673060830075
90,10,"Overall
mean",0.00651848421078123
10,10,"Cohort 1
mean",0.00528596085584117
10,10,"Cohort 2
mean",0.0077772342055354
10,10,"Overall
mean",0.00653159753068828
20,10,"Cohort 1
mean",0.00783123150250455
20,10,"Cohort 2
mean",0.01028761816789955
20,10,"Overall
mean",0.00905942483520205
40,10,"Cohort 1
mean",0.00973678761009618
40,10,"Cohort 2
mean",0.00979361569250558
40,10,"Overall
mean",0.00976520165130088
50,10,"Cohort 1
mean",0.00839515295672947
50,10,"Cohort 2
mean",0.0055492984388435
50,10,"Overall
mean",0.00697222569778648
60,10,"Cohort 1
mean",0.00569419900582152
60,10,"Cohort 2
mean",0.0052212676800123
60,10,"Overall
mean",0.00545773334291691
80,10,"Cohort 1
mean",0.23807486733999936
80,10,"Cohort 2
mean",0.11998132527950872
80,10,"Overall
mean",0.17902809630975408
90,10,"Cohort 1
mean",0.4956706618987981
90,10,"Cohort 2
mean",0.34400487671616414
90,10,"Overall
mean",0.41983776930748096
10,10,"Cohort 1
mean",0.00705255972373838
10,10,"Cohort 2
mean",0.00871688402892619
10,10,"Overall
mean",0.00788472187633229
20,10,"Cohort 1
mean",0.00414662133125297
20,10,"Cohort 2
mean",0.00766845257425232
20,10,"Overall
mean",0.00590753695275265
40,10,"Cohort 1
mean",0.00726067924483431
40,10,"Cohort 2
mean",0.00972429777213264
40,10,"Overall
mean",0.00849248850848348
50,10,"Cohort 1
mean",0.00602692699748145
50,10,"Cohort 2
mean",0.0068924268363165396
50,10,"Overall
mean",0.006459676916899
60,10,"Cohort 1
mean",0.00842745428387107
60,10,"Cohort 2
mean",0.00737355783935725
60,10,"Overall
mean",0.00790050606161416
80,10,"Cohort 1
mean",0.450879811860412
80,10,"Cohort 2
mean",0.4786396275373434
80,10,"Overall
mean",0.46475971969887775
90,10,"Cohort 1
mean",0.7681442852721294
90,10,"Cohort 2
mean",0.6146987306464342
90,10,"Overall
mean",0.6914215079592819
10,10,"Cohort 1
mean",0.01151060256175304
10,10,"Cohort 2
mean",0.00831743068832707
10,10,"Overall
mean",0.00991401662504006
20,10,"Cohort 1
mean",0.00940681466868683
20,10,"Cohort 2
mean",0.00662358801672759
20,10,"Overall
mean",0.00801520134270721
40,10,"Cohort 1
mean",0.0049339078708759
40,10,"Cohort 2
mean",0.00849613154538552
40,10,"Overall
mean",0.00671501970813071
50,10,"Cohort 1
mean",0.00725407699112927
50,10,"Cohort 2
mean",0.00689386765393963
50,10,"Overall
mean",0.00707397232253445
60,10,"Cohort 1
mean",0.00867033028449927
60,10,"Cohort 2
mean",0.0059292656771992
60,10,"Overall
mean",0.00729979798084923
80,10,"Cohort 1
mean",0.3341613924202257
80,10,"Cohort 2
mean",0.02508121518711369
80,10,"Overall
mean",0.17962130380366972
90,10,"Cohort 1
mean",0.4930320609362625
90,10,"Cohort 2
mean",0.2599162062824443
90,10,"Overall
mean",0.3764741336093532
10,10,"Cohort 1
mean",0.00933170946369032
10,10,"Cohort 2
mean",0.00540713224467519
10,10,"Overall
mean",0.00736942085418275
20,10,"Cohort 1
mean",0.0113811125193131
20,10,"Cohort 2
mean",0.01059861001831677
20,10,"Overall
mean",0.01098986126881493
40,10,"Cohort 1
mean",0.00548123424064106
40,10,"Cohort 2
mean",0.00603168685163792
40,10,"Overall
mean",0.00575646054613949
50,10,"Cohort 1
mean",0.00653752331898277
50,10,"Cohort 2
mean",0.0077730410687666
50,10,"Overall
mean",0.00715528219387469
60,10,"Cohort 1
mean",0.0071689236128674
60,10,"Cohort 2
mean",0.00518267083198825
60,10,"Overall
mean",0.00617579722242782
80,10,"Cohort 1
mean",0.3343786398894026
80,10,"Cohort 2
mean",0.2521543693408709
80,10,"Overall
mean",0.2932665046151367
90,10,"Cohort 1
mean",0.351121772037727
90,10,"Cohort 2
mean",0.2502639486215921
90,10,"Overall
mean",0.3006928603296595
10,10,"Cohort 1
mean",0.00499228656532727
10,10,"Cohort 2
mean",0.00611307465325114
10,10,"Overall
mean",0.00555268060928921
20,10,"Cohort 1
mean",0.00869515350591684
20,10,"Cohort 2
mean",0.00715682921998874
20,10,"Overall
mean",0.00792599136295279
40,10,"Cohort 1
mean",0.0087573028734583
40,10,"Cohort 2
mean",0.00753550476248071
40,10,"Overall
mean",0.00814640381796951
50,10,"Cohort 1
mean",0.120480283432345
50,10,"Cohort 2
mean",0.01020661017216431
50,10,"Overall
mean",0.06534344680225465
60,10,"Cohort 1
mean",0.10674404376764186
60,10,"Cohort 2
mean",0.08618994680798779
60,10,"Overall
mean",0.09646699528781486
80,10,"Cohort 1
mean",0.200085905347606
80,10,"Cohort 2
mean",0.1531401174516092
80,10,"Overall
mean",0.17661301139960756
90,10,"Cohort 1
mean",0.1560337252970185
90,10,"Cohort 2
mean",0.07510412186937804
90,10,"Overall
mean",0.11556892358319826
10,10,"Cohort 1
mean",0.00817530051174578
10,10,"Cohort 2
mean",0.00731744673440843
10,10,"Overall
mean",0.00774637362307711
20,10,"Cohort 1
mean",0.00901389467806974
20,10,"Cohort 2
mean",0.00837413266740487
20,10,"Overall
mean",0.0086940136727373
40,10,"Cohort 1
mean",0.00599077797962759
40,10,"Cohort 2
mean",0.00698018042600692
40,10,"Overall
mean",0.00648547920281726
50,10,"Cohort 1
mean",0.00599311756536391
50,10,"Cohort 2
mean",0.00495996488928367
50,10,"Overall
mean",0.00547654122732379
60,10,"Cohort 1
mean",0.2071866206182111
60,10,"Cohort 2
mean",0.05111879796770378
60,10,"Overall
mean",0.1291527092929574
80,10,"Cohort 1
mean",0.16256197745061882
80,10,"Cohort 2
mean",0.13005917250579266
80,10,"Overall
mean",0.14631057497820577
90,10,"Cohort 1
mean",0.45232555941294034
90,10,"Cohort 2
mean",0.21458252320192925
90,10,"Overall
mean",0.3334540413074348
10,10,"Cohort 1
mean",0.00956692416157019
10,10,"Cohort 2
mean",0.00818106198181194
10,10,"Overall
mean",0.00887399307169107
20,10,"Cohort 1
mean",0.00962696303610295
20,10,"Cohort 2
mean",0.00872356051473439
20,10,"Overall
mean",0.00917526177541867
40,10,"Cohort 1
mean",0.00817858013619633
40,10,"Cohort 2
mean",0.00671529116768441
40,10,"Overall
mean",0.00744693565194037
50,10,"Cohort 1
mean",0.00740591969373399
50,10,"Cohort 2
mean",0.00716731181795103
50,10,"Overall
mean",0.00728661575584251
60,10,"Cohort 1
mean",0.2882059680079202
60,10,"Cohort 2
mean",0.06459148195390566
60,10,"Overall
mean",0.17639872498091297
80,10,"Cohort 1
mean",0.00817198238091486
80,10,"Cohort 2
mean",0.01115583038311398
80,10,"Overall
mean",0.00966390638201443
90,10,"Cohort 1
mean",0.30641210088067755
90,10,"Cohort 2
mean",0.1311317240328305
90,10,"Overall
mean",0.218771912456754
10,10,"Cohort 1
mean",0.00564110472149402
10,10,"Cohort 2
mean",0.00572520115932399
10,10,"Overall
mean",0.00568315294040901
20,10,"Cohort 1
mean",0.00858143568361197
20,10,"Cohort 2
mean",0.00878290683405285
20,10,"Overall
mean",0.00868217125883241
40,10,"Cohort 1
mean",0.00696946874534778
40,10,"Cohort 2
mean",0.00796120283720389
40,10,"Overall
mean",0.00746533579127584
50,10,"Cohort 1
mean",0.00526720014804525
50,10,"Cohort 2
mean",0.00534291120752026
50,10,"Overall
mean",0.00530505567778275
60,10,"Cohort 1
mean",0.00732305184278744
60,10,"Cohort 2
mean",0.00730987427786958
60,10,"Overall
mean",0.00731646306032852
80,10,"Cohort 1
mean",0.1401813119146364
80,10,"Cohort 2
mean",0.05274551484802636
80,10,"Overall
mean",0.09646341338133135
90,10,"Cohort 1
mean",0.7305560711299031
90,10,"Cohort 2
mean",0.37239162580445817
90,10,"Overall
mean",0.5514738484671807
10,10,"Cohort 1
mean",0.00517377865390256
10,10,"Cohort 2
mean",0.00665787631693004
10,10,"Overall
mean",0.0059158274854163
20,10,"Cohort 1
mean",0.00559099133826743
20,10,"Cohort 2
mean",0.00704700718766881
20,10,"Overall
mean",0.00631899926296812
40,10,"Cohort 1
mean",0.14528859591560384
40,10,"Cohort 2
mean",0.11496838186817102
40,10,"Overall
mean",0.1301284888918874
50,10,"Cohort 1
mean",0.01319293678893034
50,10,"Cohort 2
mean",0.00936244873026152
50,10,"Overall
mean",0.01127769275959593
60,10,"Cohort 1
mean",0.10337610300529124
60,10,"Cohort 2
mean",0.06062491801739998
60,10,"Overall
mean",0.08200051051134563
80,10,"Cohort 1
mean",0.00605805201379898
80,10,"Cohort 2
mean",0.00555030080599119
80,10,"Overall
mean",0.00580417640989509
90,10,"Cohort 1
mean",0.7385863299488288
90,10,"Cohort 2
mean",0.4534551693135026
90,10,"Overall
mean",0.5960207496311656
10,10,"Cohort 1
mean",0.00676363403189032
10,10,"Cohort 2
mean",0.00755201139988742
10,10,"Overall
mean",0.00715782271588887
20,10,"Cohort 1
mean",0.00537881209458956
20,10,"Cohort 2
mean",0.00506818379061306
20,10,"Overall
mean",0.00522349794260131
40,10,"Cohort 1
mean",0.00651828967305211
40,10,"Cohort 2
mean",0.00574454357095983
40,10,"Overall
mean",0.00613141662200597
50,10,"Cohort 1
mean",0.3344631785679507
50,10,"Cohort 2
mean",0.10802852354105276
50,10,"Overall
mean",0.22124585105450167
60,10,"Cohort 1
mean",0.09366107135715626
60,10,"Cohort 2
mean",0.098761880531536
60,10,"Overall
mean",0.09621147594434612
80,10,"Cohort 1
mean",0.5506619406044261
80,10,"Cohort 2
mean",0.49350958046330407
80,10,"Overall
mean",0.5220857605338651
90,10,"Cohort 1
mean",0.1505654082149013
90,10,"Cohort 2
mean",0.15493549379776797
90,10,"Overall
mean",0.1527504510063346
10,10,"Cohort 1
mean",0.00568807556732364
10,10,"Cohort 2
mean",0.00666242706126522
10,10,"Overall
mean",0.00617525131429442
20,10,"Cohort 1
mean",0.00544677676309245
20,10,"Cohort 2
mean",0.00932285429619029
20,10,"Overall
mean",0.00738481552964137
40,10,"Cohort 1
mean",0.00656927938430162
40,10,"Cohort 2
mean",0.00604934914172374
40,10,"Overall
mean",0.00630931426301268
50,10,"Cohort 1
mean",0.00556844296636879
50,10,"Cohort 2
mean",0.00744926597311742
50,10,"Overall
mean",0.0065088544697431
60,10,"Cohort 1
mean",0.00346485842222043
60,10,"Cohort 2
mean",0.00431767642794227
60,10,"Overall
mean",0.00389126742508135
80,10,"Cohort 1
mean",0.2732624205545101
80,10,"Cohort 2
mean",0.10718522857261473
80,10,"Overall
mean",0.1902238245635625
90,10,"Cohort 1
mean",0.30721372513828343
90,10,"Cohort 2
mean",0.247122119670041
90,10,"Overall
mean",0.2771679224041622
10,10,"Cohort 1
mean",0.00778985982561923
10,10,"Cohort 2
mean",0.0060593169410347
10,10,"Overall
mean",0.00692458838332697
20,10,"Cohort 1
mean",0.00438278258290606
20,10,"Cohort 2
mean",0.00495675206348449
20,10,"Overall
mean",0.00466976732319528
40,10,"Cohort 1
mean",0.26743212710330877
40,10,"Cohort 2
mean",0.01927228427089255
40,10,"Overall
mean",0.14335220568710066
50,10,"Cohort 1
mean",0.00682075669119795
50,10,"Cohort 2
mean",0.00732979803332953
50,10,"Overall
mean",0.00707527736226374
60,10,"Cohort 1
mean",0.0063301490709345
60,10,"Cohort 2
mean",0.00627698933548457
60,10,"Overall
mean",0.00630356920320954
80,10,"Cohort 1
mean",0.0077187610452588
80,10,"Cohort 2
mean",0.00868055963884999
80,10,"Overall
mean",0.00819966034205439
90,10,"Cohort 1
mean",0.5001770145339626
90,10,"Cohort 2
mean",0.3863117232725009
90,10,"Overall
mean",0.44324436890323166
10,10,"Cohort 1
mean",0.01204809220517414
10,10,"Cohort 2
mean",0.01156589647486594
10,10,"Overall
mean",0.01180699434002004
20,10,"Cohort 1
mean",0.00664458148642429
20,10,"Cohort 2
mean",0.00672964393248465
20,10,"Overall
mean",0.00668711270945447
40,10,"Cohort 1
mean",0.00766077033938779
40,10,"Cohort 2
mean",0.00829305767606713
40,10,"Overall
mean",0.00797691400772746
50,10,"Cohort 1
mean",0.01004806294593663
50,10,"Cohort 2
mean",0.00698195594368819
50,10,"Overall
mean",0.00851500944481241
60,10,"Cohort 1
mean",0.3724310476502754
60,10,"Cohort 2
mean",0.3643549471646595
60,10,"Overall
mean",0.36839299740746767
80,10,"Cohort 1
mean",0.3462746822466931
80,10,"Cohort 2
mean",0.17634405720423585
80,10,"Overall
mean",0.26130936972546454
90,10,"Cohort 1
mean",0.3842581328147844
90,10,"Cohort 2
mean",0.27400575545560074
90,10,"Overall
mean",0.3291319441351925
10,10,"Cohort 1
mean",0.00446584438140366
10,10,"Cohort 2
mean",0.00590002833932889
10,10,"Overall
mean",0.00518293636036628
20,10,"Cohort 1
mean",0.00585910755110429
20,10,"Cohort 2
mean",0.00772872578584068
20,10,"Overall
mean",0.00679391666847248
40,10,"Cohort 1
mean",0.094099878153216
40,10,"Cohort 2
mean",0.04869267768303294
40,10,"Overall
mean",0.07139627791812449
50,10,"Cohort 1
mean",0.00515860231544523
50,10,"Cohort 2
mean",0.0051876270849762
50,10,"Overall
mean",0.00517311470021071
80,10,"Cohort 1
mean",0.00680429003597439
80,10,"Cohort 2
mean",0.00881461092180482
80,10,"Overall
mean",0.00780945047888961
60,10,"Cohort 1
mean",0.2013684323878134
60,10,"Cohort 2
mean",0.2465526131306884
60,10,"Overall
mean",0.223960522759251
90,10,"Cohort 1
mean",0.8302786619076261
90,10,"Cohort 2
mean",0.6386877000328216
90,10,"Overall
mean",0.7344831809702237
10,10,"Cohort 1
mean",0.00659929850458087
10,10,"Cohort 2
mean",0.00767724700401058
10,10,"Overall
mean",0.00713827275429572
20,10,"Cohort 1
mean",0.00621587706040077
20,10,"Cohort 2
mean",0.00771001826454332
20,10,"Overall
mean",0.00696294766247205
40,10,"Cohort 1
mean",0.00604112291406196
40,10,"Cohort 2
mean",0.00681312380219208
40,10,"Overall
mean",0.00642712335812702
50,10,"Cohort 1
mean",0.2912165588418926
50,10,"Cohort 2
mean",0.20683788625315752
50,10,"Overall
mean",0.24902722254752505
60,10,"Cohort 1
mean",0.4586283038122347
60,10,"Cohort 2
mean",0.08301218567160848
60,10,"Overall
mean",0.27082024474192157
80,10,"Cohort 1
mean",0.4046422018283784
80,10,"Cohort 2
mean",0.2032041075364545
80,10,"Overall
mean",0.3039231546824164
90,10,"Cohort 1
mean",0.93209633093587
90,10,"Cohort 2
mean",0.911931394812842
90,10,"Overall
mean",0.9220138628743564
10,10,"Cohort 1
mean",0.00942070528189891
10,10,"Cohort 2
mean",0.00674127558498574
10,10,"Overall
mean",0.00808099043344232
20,10,"Cohort 1
mean",0.00455117529603803
20,10,"Cohort 2
mean",0.00615917842340625
20,10,"Overall
mean",0.00535517685972214
40,10,"Cohort 1
mean",0.00480373271403534
40,10,"Cohort 2
mean",0.00480673418052701
40,10,"Overall
mean",0.00480523344728117
50,10,"Cohort 1
mean",0.00281199701222728
50,10,"Cohort 2
mean",0.00485628956818496
50,10,"Overall
mean",0.00383414329020612
60,10,"Cohort 1
mean",0.00529003716726133
60,10,"Cohort 2
mean",0.00628014081305246
60,10,"Overall
mean",0.0057850889901569
80,10,"Cohort 1
mean",0.5954339401114658
80,10,"Cohort 2
mean",0.34394360936635826
80,10,"Overall
mean",0.4696887747389121
90,10,"Cohort 1
mean",0.31171383089244303
90,10,"Cohort 2
mean",0.23965473784960528
90,10,"Overall
mean",0.2756842843710241
10,10,"Cohort 1
mean",0.01238403336737651
10,10,"Cohort 2
mean",0.01040522822141133
10,10,"Overall
mean",0.01139463079439392
20,10,"Cohort 1
mean",0.00636390928020659
20,10,"Cohort 2
mean",0.00606181276453628
20,10,"Overall
mean",0.00621286102237144
40,10,"Cohort 1
mean",0.13071771085435677
40,10,"Cohort 2
mean",0.02010254260704292
40,10,"Overall
mean",0.07541012673069984
50,10,"Cohort 1
mean",0.00527968076152003
50,10,"Cohort 2
mean",0.00595217147704036
50,10,"Overall
mean",0.00561592611928019
60,10,"Cohort 1
mean",0.00621039243301657
60,10,"Cohort 2
mean",0.00857070160979188
60,10,"Overall
mean",0.00739054702140422
80,10,"Cohort 1
mean",0.23553926019490415
80,10,"Cohort 2
mean",0.06718590323654125
80,10,"Overall
mean",0.15136258171572264
90,10,"Cohort 1
mean",0.8890828020614278
90,10,"Cohort 2
mean",0.8093854110381044
90,10,"Overall
mean",0.849234106549766
10,10,"Cohort 1
mean",0.00816735652481615
10,10,"Cohort 2
mean",0.00683719345958683
10,10,"Overall
mean",0.00750227499220149
20,10,"Cohort 1
mean",0.00427772489194351
20,10,"Cohort 2
mean",0.00749038872321308
20,10,"Overall
mean",0.00588405680757829
40,10,"Cohort 1
mean",0.01254268185401426
40,10,"Cohort 2
mean",0.00605869003526786
40,10,"Overall
mean",0.00930068594464106
50,10,"Cohort 1
mean",0.01080168424237087
50,10,"Cohort 2
mean",0.00741051824999776
50,10,"Overall
mean",0.00910610124618431
60,10,"Cohort 1
mean",0.00522517072547421
60,10,"Cohort 2
mean",0.00529905610326411
60,10,"Overall
mean",0.00526211341436916
80,10,"Cohort 1
mean",0.47168975606176744
80,10,"Cohort 2
mean",0.11244422873599706
80,10,"Overall
mean",0.29206699239888223
90,10,"Cohort 1
mean",0.23294217567527511
90,10,"Cohort 2
mean",0.07604667043499107
90,10,"Overall
mean",0.15449442305513308
10,10,"Cohort 1
mean",0.00867928591118685
10,10,"Cohort 2
mean",0.00787786922912118
10,10,"Overall
mean",0.00827857757015401
20,10,"Cohort 1
mean",0.00560585849645764
20,10,"Cohort 2
mean",0.00919470769843564
20,10,"Overall
mean",0.00740028309744664
40,10,"Cohort 1
mean",0.00614946533971474
40,10,"Cohort 2
mean",0.00563177117738004
40,10,"Overall
mean",0.00589061825854739
50,10,"Cohort 1
mean",0.01055850411797302
50,10,"Cohort 2
mean",0.0085256912962523
50,10,"Overall
mean",0.00954209770711266
60,10,"Cohort 1
mean",0.14388351666001228
60,10,"Cohort 2
mean",0.10257554426730994
60,10,"Overall
mean",0.12322953046366111
80,10,"Cohort 1
mean",0.23927203610981035
80,10,"Cohort 2
mean",0.11894993353441072
80,10,"Overall
mean",0.1791109848221105
90,10,"Cohort 1
mean",0.7386319204044642
90,10,"Cohort 2
mean",0.612760577091344
90,10,"Overall
mean",0.6756962487479043
10,10,"Cohort 1
mean",0.01125889013234049
10,10,"Cohort 2
mean",0.01014073279796411
10,10,"Overall
mean",0.0106998114651523
20,10,"Cohort 1
mean",0.0027511503788842
20,10,"Cohort 2
mean",0.00672805054116554
20,10,"Overall
mean",0.00473960046002487
40,10,"Cohort 1
mean",0.00665541795816438
40,10,"Cohort 2
mean",0.00748305524030556
40,10,"Overall
mean",0.00706923659923497
50,10,"Cohort 1
mean",0.12934148903535925
50,10,"Cohort 2
mean",0.05545186156984755
50,10,"Overall
mean",0.09239667530260338
60,10,"Cohort 1
mean",0.25677855953874273
60,10,"Cohort 2
mean",0.10415467804961956
60,10,"Overall
mean",0.18046661879418116
80,10,"Cohort 1
mean",0.9001411614886742
80,10,"Cohort 2
mean",0.6067396730207882
80,10,"Overall
mean",0.7534404172547312
90,10,"Cohort 1
mean",0.8030113205017073
90,10,"Cohort 2
mean",0.7473117900192734
90,10,"Overall
mean",0.7751615552604901
20,10,"Cohort 1
mean",0.00690503977740254
20,10,"Cohort 2
mean",0.00785603772976609
20,10,"Overall
mean",0.00738053875358431
10,10,"Cohort 1
mean",0.01028420001180014
10,10,"Cohort 2
mean",0.00784319043059013
10,10,"Overall
mean",0.00906369522119514
40,10,"Cohort 1
mean",0.08346994918396479
40,10,"Cohort 2
mean",0.05735481213473046
40,10,"Overall
mean",0.07041238065934764
50,10,"Cohort 1
mean",0.00958813833509456
50,10,"Cohort 2
mean",0.00551843659698775
50,10,"Overall
mean",0.00755328746604116
60,10,"Cohort 1
mean",0.00473264381548977
60,10,"Cohort 2
mean",0.00609519067012692
60,10,"Overall
mean",0.00541391724280834
80,10,"Cohort 1
mean",0.604922349444234
80,10,"Cohort 2
mean",0.2070764877533217
80,10,"Overall
mean",0.40599941859877775
90,10,"Cohort 1
mean",0.3392302678112215
90,10,"Cohort 2
mean",0.157151667816873
90,10,"Overall
mean",0.2481909678140473
10,10,"Cohort 1
mean",0.00543340628708839
10,10,"Cohort 2
mean",0.00413694003982872
10,10,"Overall
mean",0.00478517316345855
20,10,"Cohort 1
mean",0.00465384348019003
20,10,"Cohort 2
mean",0.00534193655198603
20,10,"Overall
mean",0.00499789001608803
40,10,"Cohort 1
mean",0.00948860752376916
40,10,"Cohort 2
mean",0.00812374952424979
40,10,"Overall
mean",0.00880617852400948
50,10,"Cohort 1
mean",0.1237932862337511
50,10,"Cohort 2
mean",0.01699448209320332
50,10,"Overall
mean",0.0703938841634772
60,10,"Cohort 1
mean",0.1955714032586568
60,10,"Cohort 2
mean",0.12848974508144315
60,10,"Overall
mean",0.16203057417004998
80,10,"Cohort 1
mean",0.6500765650191624
80,10,"Cohort 2
mean",0.456757764072798
80,10,"Overall
mean",0.5534171645459802
