chance_listen_to_outgroup,percent_grammar_1,percent_cohort2,type,final_state
0.2,60,50,Cohort 2 mean,0.8542096117352864
0.2,60,50,Overall mean,0.849173222195002
0.3,35,50,Cohort 1 mean,0.09763100498144082
0.3,35,50,Cohort 2 mean,0.09874582976279142
0.3,35,50,Overall mean,0.0981884173721161
0.3,50,50,Cohort 1 mean,0.09572578130296984
0.3,50,50,Cohort 2 mean,0.05828684805631288
0.3,50,50,Overall mean,0.07700631467964135
0.3,45,50,Cohort 1 mean,0.34379995040908745
0.3,45,50,Cohort 2 mean,0.20776919271385336
0.3,45,50,Overall mean,0.2757845715614705
0.3,55,50,Cohort 1 mean,0.5195061447292874
0.3,55,50,Cohort 2 mean,0.5108772413983326
0.3,55,50,Overall mean,0.51519169306381
0.3,40,50,Cohort 1 mean,0.5067325985619974
0.3,40,50,Cohort 2 mean,0.5798950491218318
0.3,40,50,Overall mean,0.5433138238419145
0.3,70,50,Cohort 1 mean,0.9927148385661138
0.3,70,50,Cohort 2 mean,0.9926651785685768
0.3,70,50,Overall mean,0.9926900085673456
0.3,65,50,Cohort 1 mean,0.9914098200771424
0.3,65,50,Cohort 2 mean,0.9912181188546508
0.3,65,50,Overall mean,0.9913139694658966
0.3,80,50,Cohort 1 mean,0.993436726976884
0.3,80,50,Cohort 2 mean,0.9918313726661122
0.3,80,50,Overall mean,0.992634049821498
0.3,60,50,Cohort 1 mean,0.3453057573683386
0.3,60,50,Cohort 2 mean,0.5638557233023881
0.3,60,50,Overall mean,0.4545807403353632
0.3,90,50,Cohort 1 mean,0.991775326320138
0.3,90,50,Cohort 2 mean,0.9915459172817672
0.3,90,50,Overall mean,0.9916606218009528
0.4,10,50,Cohort 1 mean,0.00839334052004154
0.4,10,50,Cohort 2 mean,0.00956117879551196
0.4,10,50,Overall mean,0.00897725965777675
0.4,30,50,Cohort 1 mean,0.00707965836029605
0.4,30,50,Cohort 2 mean,0.00791420291834635
0.4,30,50,Overall mean,0.0074969306393212
0.4,35,50,Cohort 1 mean,0.08771363568803088
0.4,35,50,Cohort 2 mean,0.16137232425726705
0.4,35,50,Overall mean,0.12454297997264896
0.4,45,50,Cohort 1 mean,0.8014076433358222
0.4,45,50,Cohort 2 mean,0.7738626314780348
0.4,45,50,Overall mean,0.7876351374069284
0.4,40,50,Cohort 1 mean,0.2742234492346506
0.4,40,50,Cohort 2 mean,0.20329307661669732
0.4,40,50,Overall mean,0.238758262925674
0.4,20,50,Cohort 1 mean,0.0075333794307852
0.4,20,50,Cohort 2 mean,0.00790119399209767
0.4,20,50,Overall mean,0.00771728671144144
0.4,60,50,Cohort 1 mean,0.9142107916037002
0.4,60,50,Cohort 2 mean,0.9877777959479668
0.4,60,50,Overall mean,0.9509942937758336
0.4,50,50,Cohort 1 mean,0.3408928798435948
0.4,50,50,Cohort 2 mean,0.1451464639631273
0.4,50,50,Overall mean,0.24301967190336113
0.4,55,50,Cohort 1 mean,0.8103811338718183
0.4,55,50,Cohort 2 mean,0.8825644061786131
0.4,55,50,Overall mean,0.8464727700252155
0.4,65,50,Cohort 1 mean,0.8034908605022059
0.4,65,50,Cohort 2 mean,0.745625682517659
0.4,65,50,Overall mean,0.7745582715099322
0.4,70,50,Cohort 1 mean,0.888042155472856
0.4,70,50,Cohort 2 mean,0.8539474402505467
0.4,70,50,Overall mean,0.8709947978617013
0.4,90,50,Cohort 1 mean,0.992644745781562
0.4,90,50,Cohort 2 mean,0.9941794023793032
0.4,90,50,Overall mean,0.9934120740804326
0.5,10,50,Cohort 1 mean,0.00363550952123555
0.5,10,50,Cohort 2 mean,0.00858205109672563
0.5,10,50,Overall mean,0.00610878030898059
0.4,80,50,Cohort 1 mean,0.993704358320716
0.4,80,50,Cohort 2 mean,0.99181836806331
0.4,80,50,Overall mean,0.9927613631920134
0.5,20,50,Cohort 1 mean,0.00699375478374466
0.5,20,50,Cohort 2 mean,0.00826621113694984
0.5,20,50,Overall mean,0.00762998296034725
0.5,35,50,Cohort 1 mean,0.07540609761585851
0.5,35,50,Cohort 2 mean,0.01525126517662751
0.5,35,50,Overall mean,0.045328681396243
0.5,30,50,Cohort 1 mean,0.00630325715460127
0.5,30,50,Cohort 2 mean,0.0077293176678292
0.5,30,50,Overall mean,0.00701628741121523
0.5,40,50,Cohort 1 mean,0.00638600895828378
0.5,40,50,Cohort 2 mean,0.00805361542587647
0.5,40,50,Overall mean,0.00721981219208012
0.5,50,50,Cohort 1 mean,0.1533280978234392
0.5,50,50,Cohort 2 mean,0.1234646653212272
0.5,50,50,Overall mean,0.1383963815723332
0.5,45,50,Cohort 1 mean,0.2404784818223218
0.5,45,50,Cohort 2 mean,0.28286279954123167
0.5,45,50,Overall mean,0.26167064068177676
0.5,55,50,Cohort 1 mean,0.9937310239527336
0.5,55,50,Cohort 2 mean,0.9780822787857346
0.5,55,50,Overall mean,0.9859066513692344
0.5,60,50,Cohort 1 mean,0.5616209946837076
0.5,60,50,Cohort 2 mean,0.7524936611081902
0.5,60,50,Overall mean,0.657057327895949
0.5,65,50,Cohort 1 mean,0.995564646049201
0.5,65,50,Cohort 2 mean,0.9940568582572784
0.5,65,50,Overall mean,0.9948107521532394
0.5,70,50,Cohort 1 mean,0.9941363472478668
0.5,70,50,Cohort 2 mean,0.993886121593748
0.5,70,50,Overall mean,0.9940112344208074
0.5,90,50,Cohort 1 mean,0.9944807548560312
0.5,90,50,Cohort 2 mean,0.992146996765128
0.5,90,50,Overall mean,0.9933138758105796
0.5,80,50,Cohort 1 mean,0.9896804276130756
0.5,80,50,Cohort 2 mean,0.99184774811401
0.5,80,50,Overall mean,0.9907640878635426
0.6,10,50,Cohort 1 mean,0.00763901052129623
0.6,10,50,Cohort 2 mean,0.00727239165459834
0.6,10,50,Overall mean,0.00745570108794729
0.6,20,50,Cohort 1 mean,0.00777511870810386
0.6,20,50,Cohort 2 mean,0.0073547081925378
0.6,20,50,Overall mean,0.00756491345032083
0.6,35,50,Cohort 1 mean,0.11108304780086836
0.6,35,50,Cohort 2 mean,0.1371428072658125
0.6,35,50,Overall mean,0.12411292753334038
0.6,30,50,Cohort 1 mean,0.00708549931473296
0.6,30,50,Cohort 2 mean,0.00634997164713425
0.6,30,50,Overall mean,0.00671773548093361
0.6,40,50,Cohort 1 mean,0.5648046240854643
0.6,40,50,Cohort 2 mean,0.3934935216414635
0.6,40,50,Overall mean,0.479149072863464
0.6,45,50,Cohort 1 mean,0.08222319001722325
0.6,45,50,Cohort 2 mean,0.03946703315574039
0.6,45,50,Overall mean,0.06084511158648181
0.6,55,50,Cohort 1 mean,0.942564972855664
0.6,55,50,Cohort 2 mean,0.8623720665409665
0.6,55,50,Overall mean,0.9024685196983152
0.6,50,50,Cohort 1 mean,0.27474730280689325
0.6,50,50,Cohort 2 mean,0.36057651085576425
0.6,50,50,Overall mean,0.3176619068313288
0.6,60,50,Cohort 1 mean,0.8989725504180435
0.6,60,50,Cohort 2 mean,0.6692128091701653
0.6,60,50,Overall mean,0.7840926797941042
0.6,65,50,Cohort 1 mean,0.9129158306566388
0.6,65,50,Cohort 2 mean,0.9424494822992524
0.6,65,50,Overall mean,0.9276826564779456
0.6,70,50,Cohort 1 mean,0.9929591403600508
0.6,70,50,Cohort 2 mean,0.9942039460309636
0.6,70,50,Overall mean,0.9935815431955072
0.6,90,50,Cohort 1 mean,0.9932492648496798
0.6,90,50,Cohort 2 mean,0.9919407317976012
0.6,90,50,Overall mean,0.9925949983236408
0.6,80,50,Cohort 1 mean,0.9916161172014398
0.6,80,50,Cohort 2 mean,0.9942960818197186
0.6,80,50,Overall mean,0.9929560995105792
0.7,10,50,Cohort 1 mean,0.01022278637003888
0.7,10,50,Cohort 2 mean,0.00882241174420548
0.7,10,50,Overall mean,0.00952259905712218
0.7,35,50,Cohort 1 mean,0.00560125518057718
0.7,35,50,Cohort 2 mean,0.00562972369337238
0.7,35,50,Overall mean,0.00561548943697478
0.7,20,50,Cohort 1 mean,0.00984493571974293
0.7,20,50,Cohort 2 mean,0.00943214515216052
0.7,20,50,Overall mean,0.00963854043595172
0.7,40,50,Cohort 1 mean,0.4049403787735021
0.7,40,50,Cohort 2 mean,0.3981475683166387
0.7,40,50,Overall mean,0.4015439735450704
0.7,45,50,Cohort 1 mean,0.32504170515393876
0.7,45,50,Cohort 2 mean,0.5454768103995076
0.7,45,50,Overall mean,0.4352592577767231
0.7,30,50,Cohort 1 mean,0.00581440770301245
0.7,30,50,Cohort 2 mean,0.00609805418873161
0.7,30,50,Overall mean,0.00595623094587203
0.7,50,50,Cohort 1 mean,0.4523453073225429
0.7,50,50,Cohort 2 mean,0.7965391908530007
0.7,50,50,Overall mean,0.6244422490877717
0.7,55,50,Cohort 1 mean,0.8991434724672359
0.7,55,50,Cohort 2 mean,0.959232707309013
0.7,55,50,Overall mean,0.9291880898881244
0.7,70,50,Cohort 1 mean,0.993643027383228
0.7,70,50,Cohort 2 mean,0.9943988312479553
0.7,70,50,Overall mean,0.9940209293155916
0.7,60,50,Cohort 1 mean,0.8946243393145916
0.7,60,50,Cohort 2 mean,0.7587721064052141
0.7,60,50,Overall mean,0.826698222859903
0.7,65,50,Cohort 1 mean,0.9905654996397716
0.7,65,50,Cohort 2 mean,0.9946530622549462
0.7,65,50,Overall mean,0.9926092809473592
0.7,80,50,Cohort 1 mean,0.9925010109460776
0.7,80,50,Cohort 2 mean,0.9945843175154134
0.7,80,50,Overall mean,0.9935426642307456
0.7,90,50,Cohort 1 mean,0.991110694440904
0.7,90,50,Cohort 2 mean,0.993678828548092
0.7,90,50,Overall mean,0.992394761494498
0.8,20,50,Cohort 1 mean,0.0917853662988349
0.8,20,50,Cohort 2 mean,0.1029512007091252
0.8,20,50,Overall mean,0.09736828350398004
0.8,30,50,Cohort 1 mean,0.00555408910357576
0.8,30,50,Cohort 2 mean,0.01005880302548367
0.8,30,50,Overall mean,0.00780644606452971
0.8,10,50,Cohort 1 mean,0.00698193469735461
0.8,10,50,Cohort 2 mean,0.00997223868908783
0.8,10,50,Overall mean,0.00847708669322122
0.8,40,50,Cohort 1 mean,0.00570220796269897
0.8,40,50,Cohort 2 mean,0.00709291209759555
0.8,40,50,Overall mean,0.00639756003014726
0.8,45,50,Cohort 1 mean,0.20267751831871905
0.8,45,50,Cohort 2 mean,0.24931984699606424
0.8,45,50,Overall mean,0.2259986826573917
0.8,35,50,Cohort 1 mean,0.01463919885040418
0.8,35,50,Cohort 2 mean,0.13491027609102302
0.8,35,50,Overall mean,0.07477473747071359
0.8,50,50,Cohort 1 mean,0.3114330921152144
0.8,50,50,Cohort 2 mean,0.20854290732233183
0.8,50,50,Overall mean,0.2599879997187732
0.8,55,50,Cohort 1 mean,0.5301087971361054
0.8,55,50,Cohort 2 mean,0.3516877044270462
0.8,55,50,Overall mean,0.4408982507815759
0.8,60,50,Cohort 1 mean,0.9931754713305032
0.8,60,50,Cohort 2 mean,0.9920565876713892
0.8,60,50,Overall mean,0.992616029500946
0.8,70,50,Cohort 1 mean,0.9935651806221844
0.8,70,50,Cohort 2 mean,0.9921520423114604
0.8,70,50,Overall mean,0.9928586114668226
0.8,80,50,Cohort 1 mean,0.996203099734205
0.8,80,50,Cohort 2 mean,0.9917635365499932
0.8,80,50,Overall mean,0.9939833181420992
0.8,65,50,Cohort 1 mean,0.989931398040692
0.8,65,50,Cohort 2 mean,0.9918091551521104
0.8,65,50,Overall mean,0.990870276596401
0.9,20,50,Cohort 1 mean,0.00770712685949486
0.9,20,50,Cohort 2 mean,0.00765854529157173
0.9,20,50,Overall mean,0.00768283607553329
0.9,30,50,Cohort 1 mean,0.00849277200317705
0.9,30,50,Cohort 2 mean,0.00790655196354102
0.9,30,50,Overall mean,0.00819966198335903
0.8,90,50,Cohort 1 mean,0.994006498333284
0.8,90,50,Cohort 2 mean,0.9925283510721142
0.8,90,50,Overall mean,0.9932674247026992
0.9,10,50,Cohort 1 mean,0.00893391901122785
0.9,10,50,Cohort 2 mean,0.00796595932566597
0.9,10,50,Overall mean,0.00844993916844691
0.9,35,50,Cohort 1 mean,0.10085880220922852
0.9,35,50,Cohort 2 mean,0.12978605839997492
0.9,35,50,Overall mean,0.11532243030460172
0.9,40,50,Cohort 1 mean,0.0061872933481728
0.9,40,50,Cohort 2 mean,0.0085190878498301
0.9,40,50,Overall mean,0.00735319059900145
0.9,45,50,Cohort 1 mean,0.00537257781580523
0.9,45,50,Cohort 2 mean,0.00572854182486115
0.9,45,50,Overall mean,0.00555055982033319
0.9,50,50,Cohort 1 mean,0.5820312831270541
0.9,50,50,Cohort 2 mean,0.5446160025581839
0.9,50,50,Overall mean,0.563323642842619
0.9,65,50,Cohort 1 mean,0.9926601945189428
0.9,65,50,Cohort 2 mean,0.992619170374042
0.9,65,50,Overall mean,0.9926396824464924
0.9,70,50,Cohort 1 mean,0.9966380999270252
0.9,70,50,Cohort 2 mean,0.9938023445656016
0.9,70,50,Overall mean,0.9952202222463136
0.9,55,50,Cohort 1 mean,0.5255885502740826
0.9,55,50,Cohort 2 mean,0.6480675334909135
0.9,55,50,Overall mean,0.5868280418824982
0.9,60,50,Cohort 1 mean,0.92105124728168
0.9,60,50,Cohort 2 mean,0.9475669967303354
0.9,60,50,Overall mean,0.9343091220060076
0.9,80,50,Cohort 1 mean,0.9948288026905218
0.9,80,50,Cohort 2 mean,0.9952751731629954
0.9,80,50,Overall mean,0.9950519879267584
1,10,50,Cohort 1 mean,0.0089321599072999
1,10,50,Cohort 2 mean,0.00800876020051172
1,10,50,Overall mean,0.00847046005390581
0.9,90,50,Cohort 1 mean,0.9914223487868734
0.9,90,50,Cohort 2 mean,0.9924784777090788
0.9,90,50,Overall mean,0.991950413247976
1,20,50,Cohort 1 mean,0.00869691974977874
1,20,50,Cohort 2 mean,0.00915067490155521
1,20,50,Overall mean,0.00892379732566698
1,35,50,Cohort 1 mean,0.12445245516675305
1,35,50,Cohort 2 mean,0.0106798451433396
1,35,50,Overall mean,0.06756615015504633
1,30,50,Cohort 1 mean,0.06036746855687257
1,30,50,Cohort 2 mean,0.1208032144471575
1,30,50,Overall mean,0.09058534150201504
1,50,50,Cohort 1 mean,0.32034036023456375
1,50,50,Cohort 2 mean,0.3950837589099864
1,50,50,Overall mean,0.35771205957227503
1,40,50,Cohort 1 mean,0.05924866709510984
1,40,50,Cohort 2 mean,0.13795402771108292
1,40,50,Overall mean,0.09860134740309638
1,65,50,Cohort 1 mean,0.83206430803854
1,65,50,Cohort 2 mean,0.9865072419387224
1,65,50,Overall mean,0.9092857749886316
1,70,50,Cohort 1 mean,0.9911774447121268
1,70,50,Cohort 2 mean,0.9920991087209362
1,70,50,Overall mean,0.9916382767165308
1,45,50,Cohort 1 mean,0.7904714306592296
1,45,50,Cohort 2 mean,0.34669075171738434
1,45,50,Overall mean,0.568581091188307
1,80,50,Cohort 1 mean,0.9945799241255512
1,80,50,Cohort 2 mean,0.9912566883395918
1,80,50,Overall mean,0.9929183062325716
1,55,50,Cohort 1 mean,0.6461645790422835
1,55,50,Cohort 2 mean,0.6959438949063591
1,55,50,Overall mean,0.6710542369743212
1,60,50,Cohort 1 mean,0.7047957650299038
1,60,50,Cohort 2 mean,0.772752039321271
1,60,50,Overall mean,0.7387739021755871
0.1,10,50,Cohort 1 mean,0.10012506175750294
0.1,10,50,Cohort 2 mean,0.01078478892429707
0.1,10,50,Overall mean,0.0554549253409
1,90,50,Cohort 1 mean,0.994743198779093
1,90,50,Cohort 2 mean,0.9923696096991276
1,90,50,Overall mean,0.9935564042391102
0.1,30,50,Cohort 1 mean,0.11107142444766492
0.1,30,50,Cohort 2 mean,0.05374029987195069
0.1,30,50,Overall mean,0.0824058621598078
0.1,35,50,Cohort 1 mean,0.3882999816016927
0.1,35,50,Cohort 2 mean,0.544943726606643
0.1,35,50,Overall mean,0.4666218541041679
0.1,45,50,Cohort 1 mean,0.204446537047328
0.1,45,50,Cohort 2 mean,0.3823977899818833
0.1,45,50,Overall mean,0.2934221635146057
0.1,20,50,Cohort 1 mean,0.05759750972859397
0.1,20,50,Cohort 2 mean,0.03317044185788223
0.1,20,50,Overall mean,0.0453839757932381
0.1,50,50,Cohort 1 mean,0.17980593663432257
0.1,50,50,Cohort 2 mean,0.26690202138409347
0.1,50,50,Overall mean,0.2233539790092081
0.1,40,50,Cohort 1 mean,0.2613252672772506
0.1,40,50,Cohort 2 mean,0.18357904596271052
0.1,40,50,Overall mean,0.22245215661998055
0.1,55,50,Cohort 1 mean,0.7056194296006855
0.1,55,50,Cohort 2 mean,0.7257994231578975
0.1,55,50,Overall mean,0.7157094263792914
0.1,60,50,Cohort 1 mean,0.9752016666735904
0.1,60,50,Cohort 2 mean,0.7680072009441787
0.1,60,50,Overall mean,0.8716044338088846
0.1,65,50,Cohort 1 mean,0.8902536672223033
0.1,65,50,Cohort 2 mean,0.9254528506321752
0.1,65,50,Overall mean,0.9078532589272392
0.1,70,50,Cohort 1 mean,0.9702955205607952
0.1,70,50,Cohort 2 mean,0.8965161555889409
0.1,70,50,Overall mean,0.933405838074868
0.2,10,50,Cohort 1 mean,0.00822824522209439
0.2,10,50,Cohort 2 mean,0.01218020135731868
0.2,10,50,Overall mean,0.01020422328970653
0.1,90,50,Cohort 1 mean,0.9853674981856498
0.1,90,50,Cohort 2 mean,0.9893099897623964
0.1,90,50,Overall mean,0.9873387439740232
0.1,80,50,Cohort 1 mean,0.9781043436792888
0.1,80,50,Cohort 2 mean,0.984740209211128
0.1,80,50,Overall mean,0.9814222764452084
0.2,30,50,Cohort 1 mean,0.20309804291459957
0.2,30,50,Cohort 2 mean,0.06213510060481135
0.2,30,50,Overall mean,0.13261657175970545
0.2,20,50,Cohort 1 mean,0.25400428719331875
0.2,20,50,Cohort 2 mean,0.10997073249613176
0.2,20,50,Overall mean,0.18198750984472525
0.2,35,50,Cohort 1 mean,0.01396707883719622
0.2,35,50,Cohort 2 mean,0.01513896756693974
0.2,35,50,Overall mean,0.01455302320206798
0.2,40,50,Cohort 1 mean,0.595260470797561
0.2,40,50,Cohort 2 mean,0.7604429307051083
0.2,40,50,Overall mean,0.6778517007513349
0.2,45,50,Cohort 1 mean,0.37657984526827865
0.2,45,50,Cohort 2 mean,0.34519895564118086
0.2,45,50,Overall mean,0.3608894004547298
0.2,50,50,Cohort 1 mean,0.230701494334056
0.2,50,50,Cohort 2 mean,0.3622074146914784
0.2,50,50,Overall mean,0.2964544545127673
0.2,70,50,Cohort 1 mean,0.8970919394209259
0.2,70,50,Cohort 2 mean,0.9640988826121848
0.2,70,50,Overall mean,0.9305954110165552
0.2,80,50,Cohort 1 mean,0.9929735606043288
0.2,80,50,Cohort 2 mean,0.9911653909487872
0.2,80,50,Overall mean,0.992069475776558
0.2,65,50,Cohort 1 mean,0.7620868048535793
0.2,65,50,Cohort 2 mean,0.9478101268329844
0.2,65,50,Overall mean,0.8549484658432815
0.2,60,50,Cohort 1 mean,0.7107705834520816
0.2,60,50,Cohort 2 mean,0.7471416622424154
0.2,60,50,Overall mean,0.7289561228472485
0.2,55,50,Cohort 1 mean,0.9813454255145846
0.2,55,50,Cohort 2 mean,0.9812696912849564
0.2,55,50,Overall mean,0.9813075583997704
0.2,90,50,Cohort 1 mean,0.9943330797854572
0.2,90,50,Cohort 2 mean,0.9927336468515212
0.2,90,50,Overall mean,0.9935333633184892
0.3,20,50,Cohort 1 mean,0.00468271851318782
0.3,20,50,Cohort 2 mean,0.00581829479477859
0.3,20,50,Overall mean,0.00525050665398321
0.3,30,50,Cohort 1 mean,0.00848077267066868
0.3,30,50,Cohort 2 mean,0.00727171487412424
0.3,30,50,Overall mean,0.00787624377239646
0.3,10,50,Cohort 1 mean,0.00887988691150762
0.3,10,50,Cohort 2 mean,0.00819455174812467
0.3,10,50,Overall mean,0.00853721932981615
0.3,35,50,Cohort 1 mean,0.00601406305759695
0.3,35,50,Cohort 2 mean,0.00868609856390523
0.3,35,50,Overall mean,0.00735008081075109
0.3,50,50,Cohort 1 mean,0.6501133321013569
0.3,50,50,Cohort 2 mean,0.7764604151815662
0.3,50,50,Overall mean,0.7132868736414616
0.3,55,50,Cohort 1 mean,0.8503651820672333
0.3,55,50,Cohort 2 mean,0.9381180140742866
0.3,55,50,Overall mean,0.8942415980707601
0.3,45,50,Cohort 1 mean,0.4154449408553315
0.3,45,50,Cohort 2 mean,0.4459271858849423
0.3,45,50,Overall mean,0.430686063370137
0.3,60,50,Cohort 1 mean,0.7894642218112152
0.3,60,50,Cohort 2 mean,0.6510907201802855
0.3,60,50,Overall mean,0.7202774709957505
0.3,65,50,Cohort 1 mean,0.9327977689117934
0.3,65,50,Cohort 2 mean,0.7439807406421308
0.3,65,50,Overall mean,0.8383892547769622
0.3,40,50,Cohort 1 mean,0.3700222646934684
0.3,40,50,Cohort 2 mean,0.36591641253900287
0.3,40,50,Overall mean,0.3679693386162356
0.3,70,50,Cohort 1 mean,0.8569319767594686
0.3,70,50,Cohort 2 mean,0.797464054401359
0.3,70,50,Overall mean,0.8271980155804141
0.3,80,50,Cohort 1 mean,0.994246795591225
0.3,80,50,Cohort 2 mean,0.9922015359015264
0.3,80,50,Overall mean,0.9932241657463756
0.4,10,50,Cohort 1 mean,0.00779311965692152
0.4,10,50,Cohort 2 mean,0.00629645508497156
0.4,10,50,Overall mean,0.00704478737094654
0.3,90,50,Cohort 1 mean,0.9903020679578278
0.3,90,50,Cohort 2 mean,0.9067043255001522
0.3,90,50,Overall mean,0.94850319672899
0.4,30,50,Cohort 1 mean,0.00710513336673335
0.4,30,50,Cohort 2 mean,0.00899895468477694
0.4,30,50,Overall mean,0.00805204402575515
0.4,20,50,Cohort 1 mean,0.00713875061798227
0.4,20,50,Cohort 2 mean,0.00679484818053436
0.4,20,50,Overall mean,0.00696679939925831
0.4,45,50,Cohort 1 mean,0.34188836461290856
0.4,45,50,Cohort 2 mean,0.3037546679353965
0.4,45,50,Overall mean,0.32282151627415256
0.4,35,50,Cohort 1 mean,0.10566292352323244
0.4,35,50,Cohort 2 mean,0.0973765700631955
0.4,35,50,Overall mean,0.10151974679321396
0.4,50,50,Cohort 1 mean,0.5613289224886574
0.4,50,50,Cohort 2 mean,0.6450805902640705
0.4,50,50,Overall mean,0.6032047563763638
0.4,40,50,Cohort 1 mean,0.10499016377751288
0.4,40,50,Cohort 2 mean,0.1426287236738322
0.4,40,50,Overall mean,0.12380944372567251
0.4,55,50,Cohort 1 mean,0.6023840412585201
0.4,55,50,Cohort 2 mean,0.7041451016355958
0.4,55,50,Overall mean,0.6532645714470577
0.4,60,50,Cohort 1 mean,0.9091927167386984
0.4,60,50,Cohort 2 mean,0.9755114146189692
0.4,60,50,Overall mean,0.942352065678834
0.4,65,50,Cohort 1 mean,0.8920356436167449
0.4,65,50,Cohort 2 mean,0.9038147546605004
0.4,65,50,Overall mean,0.8979251991386228
0.4,80,50,Cohort 1 mean,0.9885579034295298
0.4,80,50,Cohort 2 mean,0.9900884360124468
0.4,80,50,Overall mean,0.9893231697209884
0.4,70,50,Cohort 1 mean,0.9925056193974772
0.4,70,50,Cohort 2 mean,0.9928090602734904
0.4,70,50,Overall mean,0.992657339835484
0.5,10,50,Cohort 1 mean,0.00632520675054537
0.5,10,50,Cohort 2 mean,0.00535447771583196
0.5,10,50,Overall mean,0.00583984223318867
0.5,20,50,Cohort 1 mean,0.15561752928855704
