chance_listen_to_outgroup,percent_grammar_1,type,final_state
0.1,40,Cohort 2 mean,0.11701488317564944
0.1,40,Overall mean,0.1003858564009166
0.1,45,Cohort 1 mean,0.24740430412562325
0.1,45,Cohort 2 mean,0.24139463740747988
0.1,45,Overall mean,0.24289705408701573
0.1,50,Cohort 1 mean,0.6793507304629564
0.1,50,Cohort 2 mean,0.442879657902656
0.1,50,Overall mean,0.5019974260427311
0.1,60,Cohort 1 mean,0.9191627915334876
0.1,60,Cohort 2 mean,0.885313674166844
0.1,60,Overall mean,0.893775953508505
0.1,90,Cohort 1 mean,0.9767366456977266
0.1,90,Cohort 2 mean,0.9811164000526
0.1,90,Overall mean,0.9800214614638816
0.1,70,Cohort 1 mean,0.9580791797859228
0.1,70,Cohort 2 mean,0.9930225361716204
0.1,70,Overall mean,0.9842866970751958
0.1,80,Cohort 1 mean,0.9875804895497332
0.1,80,Cohort 2 mean,0.9874024503638132
0.1,80,Overall mean,0.9874469601602932
0.2,10,Cohort 1 mean,0.00741964012493548
0.2,10,Cohort 2 mean,0.01054961467056699
0.2,10,Overall mean,0.00820213376134336
0.2,20,Cohort 1 mean,0.00657165081505193
0.2,20,Cohort 2 mean,0.00797154459924309
0.2,20,Overall mean,0.00692162426109972
0.2,30,Cohort 1 mean,0.03577309276089429
0.2,30,Cohort 2 mean,0.33519464080324884
0.2,30,Overall mean,0.11062847977148292
0.2,35,Cohort 1 mean,0.00505974240602012
0.2,35,Cohort 2 mean,0.01255896528024406
0.2,35,Overall mean,0.00693454812457611
0.2,45,Cohort 1 mean,0.288380344614659
0.2,45,Cohort 2 mean,0.656427584454516
0.2,45,Overall mean,0.3803921545746233
0.2,40,Cohort 1 mean,0.08530894287164496
0.2,40,Cohort 2 mean,0.01863443573320208
0.2,40,Overall mean,0.06864031608703423
0.2,50,Cohort 1 mean,0.8103085952655243
0.2,50,Cohort 2 mean,0.5995492414511456
0.2,50,Overall mean,0.7576187568119295
0.2,60,Cohort 1 mean,0.9927760775089944
0.2,60,Cohort 2 mean,0.988182644135768
0.2,60,Overall mean,0.9916277191656878
0.2,80,Cohort 1 mean,0.988961684724913
0.2,80,Cohort 2 mean,0.9875117063898567
0.2,80,Overall mean,0.988599190141149
0.2,90,Cohort 1 mean,0.9865301971033484
0.2,90,Cohort 2 mean,0.9948961440984962
0.2,90,Overall mean,0.9886216838521354
0.2,10,Cohort 1 mean,0.00580443691272636
0.2,10,Cohort 2 mean,0.00684168474023732
0.2,10,Overall mean,0.00632306082648184
0.2,20,Cohort 1 mean,0.01393831525908289
0.2,20,Cohort 2 mean,0.01248418330319357
0.2,20,Overall mean,0.01321124928113823
0.2,70,Cohort 1 mean,0.9934812946616474
0.2,70,Cohort 2 mean,0.9909079203930692
0.2,70,Overall mean,0.9928379510945023
0.2,40,Cohort 1 mean,0.0445219538008729
0.2,40,Cohort 2 mean,0.09456079012935996
0.2,40,Overall mean,0.06954137196511644
0.2,30,Cohort 1 mean,0.01184815141391077
0.2,30,Cohort 2 mean,0.03152786910124542
0.2,30,Overall mean,0.0216880102575781
0.2,35,Cohort 1 mean,0.1512740254733933
0.2,35,Cohort 2 mean,0.01273940540022671
0.2,35,Overall mean,0.08200671543681
0.2,45,Cohort 1 mean,0.31297037061266
0.2,45,Cohort 2 mean,0.4495250881955511
0.2,45,Overall mean,0.3812477294041056
0.2,60,Cohort 1 mean,0.9921674468788154
0.2,60,Cohort 2 mean,0.989410305615466
0.2,60,Overall mean,0.9907888762471406
0.2,50,Cohort 1 mean,0.24210389088802595
0.2,50,Cohort 2 mean,0.21288523414116817
0.2,50,Overall mean,0.227494562514597
0.2,90,Cohort 1 mean,0.9884970331965406
0.2,90,Cohort 2 mean,0.9910170554783166
0.2,90,Overall mean,0.9897570443374288
0.2,10,Cohort 1 mean,0.01117344154015476
0.2,10,Cohort 2 mean,0.00962627885115299
0.2,10,Overall mean,0.01001306952340343
0.2,80,Cohort 1 mean,0.9915722125678366
0.2,80,Cohort 2 mean,0.9877148041247784
0.2,80,Overall mean,0.9896435083463072
0.2,70,Cohort 1 mean,0.9915262219002468
0.2,70,Cohort 2 mean,0.9845541953775208
0.2,70,Overall mean,0.988040208638884
0.2,30,Cohort 1 mean,0.00664660539756741
0.2,30,Cohort 2 mean,0.01185067316432822
0.2,30,Overall mean,0.01054965622263802
0.2,20,Cohort 1 mean,0.06509279077367826
0.2,20,Cohort 2 mean,0.09041808775921303
0.2,20,Overall mean,0.08408676351282934
0.2,35,Cohort 1 mean,0.00830975979378377
0.2,35,Cohort 2 mean,0.1428456739749612
0.2,35,Overall mean,0.10921169542966688
0.2,40,Cohort 1 mean,0.48195036300227273
0.2,40,Cohort 2 mean,0.3757144085081612
0.2,40,Overall mean,0.40227339713168897
0.2,45,Cohort 1 mean,0.17289890300335015
0.2,45,Cohort 2 mean,0.5858102193054179
0.2,45,Overall mean,0.4825823902299009
0.2,50,Cohort 1 mean,0.6017629542992118
0.2,50,Cohort 2 mean,0.4973870040102392
0.2,50,Overall mean,0.5234809915824823
0.2,60,Cohort 1 mean,0.9707572030875068
0.2,60,Cohort 2 mean,0.933315999041728
0.2,60,Overall mean,0.942676300053173
0.2,70,Cohort 1 mean,0.9883326406363
0.2,70,Cohort 2 mean,0.9908278674350168
0.2,70,Overall mean,0.9902040607353376
0.2,80,Cohort 1 mean,0.9883704177586276
0.2,80,Cohort 2 mean,0.9891360372668953
0.2,80,Overall mean,0.988944632389828
0.3,10,Cohort 1 mean,0.00807517918440773
0.3,10,Cohort 2 mean,0.00550956346622905
0.3,10,Overall mean,0.00743377525486306
0.2,90,Cohort 1 mean,0.9886289305323448
0.2,90,Cohort 2 mean,0.9919183420816232
0.2,90,Overall mean,0.9910959891943036
0.3,20,Cohort 1 mean,0.00653047856346022
0.3,20,Cohort 2 mean,0.00942796863528312
0.3,20,Overall mean,0.00725485108141594
0.3,30,Cohort 1 mean,0.08957611289509357
0.3,30,Cohort 2 mean,0.01073098126145661
0.3,30,Overall mean,0.06986482998668435
0.3,35,Cohort 1 mean,0.1276593014210575
0.3,35,Cohort 2 mean,0.01308608482413191
0.3,35,Overall mean,0.09901599727182608
0.3,45,Cohort 1 mean,0.24902480594228757
0.3,45,Cohort 2 mean,0.16384385944409469
0.3,45,Overall mean,0.22772956931773936
0.3,50,Cohort 1 mean,0.8952648735031462
0.3,50,Cohort 2 mean,0.975723603357625
0.3,50,Overall mean,0.915379555966766
0.3,40,Cohort 1 mean,0.33189354420035483
0.3,40,Cohort 2 mean,0.281672614357075
0.3,40,Overall mean,0.31933831173953486
0.3,70,Cohort 1 mean,0.994562447028948
0.3,70,Cohort 2 mean,0.993339205340258
0.3,70,Overall mean,0.9942566366067762
0.3,60,Cohort 1 mean,0.9419206414673108
0.3,60,Cohort 2 mean,0.933756038397756
0.3,60,Overall mean,0.9398794906999222
0.3,80,Cohort 1 mean,0.9929219901381884
0.3,80,Cohort 2 mean,0.9894241945405546
0.3,80,Overall mean,0.9920475412387798
0.3,10,Cohort 1 mean,0.00513992785932216
0.3,10,Cohort 2 mean,0.00711603333301792
0.3,10,Overall mean,0.00612798059617003
0.3,90,Cohort 1 mean,0.9913691715373476
0.3,90,Cohort 2 mean,0.9911887873946522
0.3,90,Overall mean,0.9913240755016736
0.3,20,Cohort 1 mean,0.00790406673057208
0.3,20,Cohort 2 mean,0.0085494236168799
0.3,20,Overall mean,0.00822674517372599
0.3,30,Cohort 1 mean,0.14802284626340287
0.3,30,Cohort 2 mean,0.11256083759797052
0.3,30,Overall mean,0.13029184193068669
0.3,35,Cohort 1 mean,0.5514191029732894
0.3,35,Cohort 2 mean,0.3388427536739864
0.3,35,Overall mean,0.44513092832363776
0.3,45,Cohort 1 mean,0.7719484846743369
0.3,45,Cohort 2 mean,0.8889102691111657
0.3,45,Overall mean,0.8304293768927511
0.3,40,Cohort 1 mean,0.0035347800107962
0.3,40,Cohort 2 mean,0.00764777800248207
0.3,40,Overall mean,0.00559127900663914
0.3,50,Cohort 1 mean,0.6552231611798051
0.3,50,Cohort 2 mean,0.6077703845979412
0.3,50,Overall mean,0.6314967728888732
0.3,60,Cohort 1 mean,0.9941253071612648
0.3,60,Cohort 2 mean,0.990233864655538
0.3,60,Overall mean,0.9921795859084012
0.3,90,Cohort 1 mean,0.9897549951875092
0.3,90,Cohort 2 mean,0.9924214762090736
0.3,90,Overall mean,0.991088235698291
0.3,80,Cohort 1 mean,0.988600145455457
0.3,80,Cohort 2 mean,0.9870431924158104
0.3,80,Overall mean,0.9878216689356334
0.3,70,Cohort 1 mean,0.910825832281576
0.3,70,Cohort 2 mean,0.9877292007918262
0.3,70,Overall mean,0.9492775165367014
0.3,10,Cohort 1 mean,0.00487247382124296
0.3,10,Cohort 2 mean,0.00617557570447931
0.3,10,Overall mean,0.00584980023367023
0.3,20,Cohort 1 mean,0.00756382484650706
0.3,20,Cohort 2 mean,0.00663168130531303
0.3,20,Overall mean,0.00686471719061154
0.3,30,Cohort 1 mean,0.01103240601997162
0.3,30,Cohort 2 mean,0.00660115056501765
0.3,30,Overall mean,0.00770896442875614
0.3,35,Cohort 1 mean,0.00658000853865967
0.3,35,Cohort 2 mean,0.01195481867171427
0.3,35,Overall mean,0.01061111613845062
0.3,50,Cohort 1 mean,0.8261666954614328
0.3,50,Cohort 2 mean,0.9851757143982854
0.3,50,Overall mean,0.9454234596640724
0.3,40,Cohort 1 mean,0.00765126738836364
0.3,40,Cohort 2 mean,0.00781272330862315
0.3,40,Overall mean,0.00777235932855827
0.3,45,Cohort 1 mean,0.01671147073037382
0.3,45,Cohort 2 mean,0.06438958031626164
0.3,45,Overall mean,0.05247005291978968
0.3,60,Cohort 1 mean,0.7004925056975436
0.3,60,Cohort 2 mean,0.7615465977851464
0.3,60,Overall mean,0.7462830747632457
0.3,90,Cohort 1 mean,0.992306585854176
0.3,90,Cohort 2 mean,0.99197268074145994
0.3,90,Overall mean,0.9920561570196388
0.3,80,Cohort 1 mean,0.9939356932917788
0.3,80,Cohort 2 mean,0.9933383545161404
0.3,80,Overall mean,0.9934876892100496
0.3,70,Cohort 1 mean,0.991126043316752
0.3,70,Cohort 2 mean,0.9924283653381788
0.3,70,Overall mean,0.992102784832822
0.4,10,Cohort 1 mean,0.00422358242381162
0.4,10,Cohort 2 mean,0.00836673272538361
0.4,10,Overall mean,0.00525936999920462
0.4,20,Cohort 1 mean,0.00623565214624859
0.4,20,Cohort 2 mean,0.00554706643283983
0.4,20,Overall mean,0.0060635057178964
0.4,30,Cohort 1 mean,0.008478525273705
0.4,30,Cohort 2 mean,0.00771364014184047
0.4,30,Overall mean,0.00828730399073887
0.4,35,Cohort 1 mean,0.13122196511935671
0.4,35,Cohort 2 mean,0.19335376920298336
0.4,35,Overall mean,0.14675491614026337
0.4,40,Cohort 1 mean,0.09870233731232898
0.4,40,Cohort 2 mean,0.10150622361299784
0.4,40,Overall mean,0.09940330888749618
0.4,45,Cohort 1 mean,0.01052087764003862
0.4,45,Cohort 2 mean,0.00974230139395602
0.4,45,Overall mean,0.01032623357851797
0.4,50,Cohort 1 mean,0.67730241122646
0.4,50,Cohort 2 mean,0.4159430333568556
0.4,50,Overall mean,0.6119625667590588
0.4,70,Cohort 1 mean,0.9925635350441788
0.4,70,Cohort 2 mean,0.9913986345918464
0.4,70,Overall mean,0.9922723099310956
0.4,60,Cohort 1 mean,0.93696240853659
0.4,60,Cohort 2 mean,0.9754362735626086
0.4,60,Overall mean,0.9465808747930946
0.4,90,Cohort 1 mean,0.9940673173192072
0.4,90,Cohort 2 mean,0.9940125572921704
0.4,90,Overall mean,0.994053627312448
0.4,20,Cohort 1 mean,0.00646937837843835
0.4,20,Cohort 2 mean,0.00573162059080876
0.4,20,Overall mean,0.00610049948462355
0.4,80,Cohort 1 mean,0.9909627833599892
0.4,80,Cohort 2 mean,0.9934001630404988
0.4,80,Overall mean,0.9915721282801168
0.4,10,Cohort 1 mean,0.00766410004820859
0.4,10,Cohort 2 mean,0.00525947530530636
0.4,10,Overall mean,0.00646178767675748
0.4,35,Cohort 1 mean,0.33010786760858724
0.4,35,Cohort 2 mean,0.3518797510495943
0.4,35,Overall mean,0.3409938093290908
0.4,40,Cohort 1 mean,0.3465326007168297
0.4,40,Cohort 2 mean,0.15921502045681085
0.4,40,Overall mean,0.25287381058682024
0.4,30,Cohort 1 mean,0.00776572413747053
0.4,30,Cohort 2 mean,0.00814086488485501
0.4,30,Overall mean,0.00795329451116277
0.4,45,Cohort 1 mean,0.6315505989933542
0.4,45,Cohort 2 mean,0.5194628875003373
0.4,45,Overall mean,0.5755067432468457
0.4,50,Cohort 1 mean,0.4956653215152221
0.4,50,Cohort 2 mean,0.645918599120297
0.4,50,Overall mean,0.5707919603177595
0.4,60,Cohort 1 mean,0.5009269885039135
0.4,60,Cohort 2 mean,0.801148296263072
0.4,60,Overall mean,0.6510376423834928
0.4,80,Cohort 1 mean,0.9901053653579408
0.4,80,Cohort 2 mean,0.991773339204472
0.4,80,Overall mean,0.9909393522812064
0.4,90,Cohort 1 mean,0.9897635388122804
0.4,90,Cohort 2 mean,0.9925115545786368
0.4,90,Overall mean,0.9911375466954584
0.4,70,Cohort 1 mean,0.9911853039236752
0.4,70,Cohort 2 mean,0.9924525334672338
0.4,70,Overall mean,0.9918189186954546
0.4,10,Cohort 1 mean,0.00971986822918686
0.4,10,Cohort 2 mean,0.00535835221060064
0.4,10,Overall mean,0.00644873121524719
0.4,20,Cohort 1 mean,0.0072675343706153
0.4,20,Cohort 2 mean,0.00693473488990674
0.4,20,Overall mean,0.00701793476008388
0.4,30,Cohort 1 mean,0.0052070608460329
0.4,30,Cohort 2 mean,0.00594981903195063
0.4,30,Overall mean,0.00576412948547119
0.4,35,Cohort 1 mean,0.00939115265100124
0.4,35,Cohort 2 mean,0.01175052139818151
0.4,35,Overall mean,0.01116067921138644
0.4,40,Cohort 1 mean,0.4376889844554528
0.4,40,Cohort 2 mean,0.6083352070812129
0.4,40,Overall mean,0.5656736514247729
0.4,50,Cohort 1 mean,0.969917949975544
0.4,50,Cohort 2 mean,0.8070052966236112
0.4,50,Overall mean,0.8477334599615945
0.4,45,Cohort 1 mean,0.00648259550373723
0.4,45,Cohort 2 mean,0.00784725334932778
0.4,45,Overall mean,0.00750608888793015
0.4,70,Cohort 1 mean,0.8415292487290534
0.4,70,Cohort 2 mean,0.9885543032633552
0.4,70,Overall mean,0.9517980396297796
0.4,60,Cohort 1 mean,0.5997059936340111
0.4,60,Cohort 2 mean,0.700484627529087
0.4,60,Overall mean,0.675289969055318
0.4,90,Cohort 1 mean,0.9898228989705536
0.4,90,Cohort 2 mean,0.9914676874099396
0.4,90,Overall mean,0.9910564903000932
0.5,10,Cohort 1 mean,0.00811183038703984
0.5,10,Cohort 2 mean,0.00836639097864143
0.5,10,Overall mean,0.00817547053494024
0.5,20,Cohort 1 mean,0.00876870586394938
0.5,20,Cohort 2 mean,0.00680244110557508
0.5,20,Overall mean,0.0082771396743558
0.4,80,Cohort 1 mean,0.993396536267739
0.4,80,Cohort 2 mean,0.9915869231203196
0.4,80,Overall mean,0.9920393264071744
0.5,30,Cohort 1 mean,0.1369066619465749
0.5,30,Cohort 2 mean,0.09883878581965498
0.5,30,Overall mean,0.12738969291484492
0.5,35,Cohort 1 mean,0.00530642934831544
0.5,35,Cohort 2 mean,0.0064806630786092
0.5,35,Overall mean,0.00559998778088888
0.5,45,Cohort 1 mean,0.29770292009292204
0.5,45,Cohort 2 mean,0.4650786026085882
0.5,45,Overall mean,0.3395468407218385
0.5,50,Cohort 1 mean,0.4549007326330928
0.5,50,Cohort 2 mean,0.5106569431929909
0.5,50,Overall mean,0.46883978527306736
0.5,40,Cohort 1 mean,0.1651045781655172
0.5,40,Cohort 2 mean,0.03706734850521166
0.5,40,Overall mean,0.13309527075044075
0.5,60,Cohort 1 mean,0.7920017170438952
0.5,60,Cohort 2 mean,0.827440835001316
0.5,60,Overall mean,0.8008614965332506
0.5,70,Cohort 1 mean,0.9931547441054072
0.5,70,Cohort 2 mean,0.9940932453279652
0.5,70,Overall mean,0.9933893694110464
0.5,80,Cohort 1 mean,0.9927870152665208
0.5,80,Cohort 2 mean,0.9937251470821852
0.5,80,Overall mean,0.9930215482204364
0.5,10,Cohort 1 mean,0.00846216053387913
0.5,10,Cohort 2 mean,0.00850487831520032
0.5,10,Overall mean,0.00848351942453973
0.5,20,Cohort 1 mean,0.01006892650542243
0.5,20,Cohort 2 mean,0.0072869782631708804
0.5,20,Overall mean,0.00867795238429665
0.5,90,Cohort 1 mean,0.9916755383798476
0.5,90,Cohort 2 mean,0.9908518356070346
0.5,90,Overall mean,0.9914696126866444
0.5,35,Cohort 1 mean,0.00675218007645306
0.5,35,Cohort 2 mean,0.00642499223090601
0.5,35,Overall mean,0.00658858615367954
0.5,30,Cohort 1 mean,0.00327680176273375
0.5,30,Cohort 2 mean,0.00395876699197095
0.5,30,Overall mean,0.00361778437735235
0.5,40,Cohort 1 mean,0.1480190758148933
0.5,40,Cohort 2 mean,0.15123107834389643
0.5,40,Overall mean,0.14962507707939485
0.5,50,Cohort 1 mean,0.29031519223654356
0.5,50,Cohort 2 mean,0.3807786632693761
0.5,50,Overall mean,0.3355469277529598
0.5,45,Cohort 1 mean,0.28823396104408205
0.5,45,Cohort 2 mean,0.10377543910390286
0.5,45,Overall mean,0.1960047000739925
0.5,60,Cohort 1 mean,0.9912088476065456
0.5,60,Cohort 2 mean,0.9944086642312018
0.5,60,Overall mean,0.9928087559188736
0.5,80,Cohort 1 mean,0.9930999838961804
0.5,80,Cohort 2 mean,0.9928110043274008
0.5,80,Overall mean,0.9929554941117906
0.5,70,Cohort 1 mean,0.987601310089984
0.5,70,Cohort 2 mean,0.9921542261948768
0.5,70,Overall mean,0.9898777681424302
0.5,90,Cohort 1 mean,0.9899939066163264
0.5,90,Cohort 2 mean,0.9906640417202875
0.5,90,Overall mean,0.9903289741683072
0.5,10,Cohort 1 mean,0.0074300590482883604
0.5,10,Cohort 2 mean,0.00547143777202715
0.5,10,Overall mean,0.00596109309109245
0.5,30,Cohort 1 mean,0.00379202559926316
0.5,30,Cohort 2 mean,0.00827610950781068
0.5,30,Overall mean,0.0071550885306738
0.5,20,Cohort 1 mean,0.00611057313194989
0.5,20,Cohort 2 mean,0.00570240514714258
0.5,20,Overall mean,0.00580444714334441
0.5,45,Cohort 1 mean,0.801858895057376
0.5,45,Cohort 2 mean,0.6306031540409918
0.5,45,Overall mean,0.6734170892950877
0.5,35,Cohort 1 mean,0.00670047122851183
0.5,35,Cohort 2 mean,0.00502153863048629
0.5,35,Overall mean,0.00544127177999267
0.5,40,Cohort 1 mean,0.19375960337655257
0.5,40,Cohort 2 mean,0.17279071113884598
0.5,40,Overall mean,0.17803293419827257
0.5,50,Cohort 1 mean,0.31452930703721094
0.5,50,Cohort 2 mean,0.4266346546416625
0.5,50,Overall mean,0.39860831774054967
0.5,70,Cohort 1 mean,0.9898277733180274
0.5,70,Cohort 2 mean,0.9909646925051242
0.5,70,Overall mean,0.9906804627083504
0.5,60,Cohort 1 mean,0.9825657781686452
0.5,60,Cohort 2 mean,0.8641394321709323
0.5,60,Overall mean,0.8937460186703603
0.5,80,Cohort 1 mean,0.9919654029850776
0.5,80,Cohort 2 mean,0.993861782504177
0.5,80,Overall mean,0.993387687624402
0.5,90,Cohort 1 mean,0.9940971441839312
0.5,90,Cohort 2 mean,0.9938426487879012
0.5,90,Overall mean,0.9939062726369088
0.6,20,Cohort 1 mean,0.00852391131984648
0.6,20,Cohort 2 mean,0.00655187843849593
0.6,20,Overall mean,0.00803090309950884
0.6,10,Cohort 1 mean,0.00574896408526051
0.6,10,Cohort 2 mean,0.00655855235745408
0.6,10,Overall mean,0.0059513611533089
0.6,30,Cohort 1 mean,0.10912074046541737
0.6,30,Cohort 2 mean,0.2789873872899032
0.6,30,Overall mean,0.15158740217153874
0.6,40,Cohort 1 mean,0.0031550627089616
0.6,40,Cohort 2 mean,0.00474070447791444
0.6,40,Overall mean,0.00355147315119981
0.6,35,Cohort 1 mean,0.00871116707330006
0.6,35,Cohort 2 mean,0.00772645510800601
0.6,35,Overall mean,0.00846498908197654
0.6,50,Cohort 1 mean,0.770487934338671
0.6,50,Cohort 2 mean,0.7892139157334097
0.6,50,Overall mean,0.7751694296873557
0.6,45,Cohort 1 mean,0.2629934446769023
0.6,45,Cohort 2 mean,0.00450641041930109
0.6,45,Overall mean,0.19837168611250197
0.6,60,Cohort 1 mean,0.8429298021525218
0.6,60,Cohort 2 mean,0.8019182988096569
0.6,60,Overall mean,0.8326769263168059
0.6,80,Cohort 1 mean,0.9938098014594938
0.6,80,Cohort 2 mean,0.9916868299090849
0.6,80,Overall mean,0.9932790585718914
0.6,70,Cohort 1 mean,0.9932539337497698
0.6,70,Cohort 2 mean,0.993173379134142
0.6,70,Overall mean,0.9932337950958626
0.6,10,Cohort 1 mean,0.01126346113668365
0.6,10,Cohort 2 mean,0.00956963529419415
0.6,10,Overall mean,0.0104165482154389
0.6,90,Cohort 1 mean,0.9926129390818036
0.6,90,Cohort 2 mean,0.9915218363070823
0.6,90,Overall mean,0.9923401633881234
0.6,20,Cohort 1 mean,0.01351815628803453
0.6,20,Cohort 2 mean,0.00579454269131307
0.6,20,Overall mean,0.0096563494896738
0.6,35,Cohort 1 mean,0.1831655177740147
0.6,35,Cohort 2 mean,0.01038885653753932
0.6,35,Overall mean,0.09677718715577704
0.6,30,Cohort 1 mean,0.00926247489224489
0.6,30,Cohort 2 mean,0.00847210528325704
0.6,30,Overall mean,0.00886729008775096
0.6,40,Cohort 1 mean,0.0051265036507692
0.6,40,Cohort 2 mean,0.00474001586559106
0.6,40,Overall mean,0.00493325975818013
0.6,45,Cohort 1 mean,0.5286285334592294
0.6,45,Cohort 2 mean,0.5786366140500447
0.6,45,Overall mean,0.5536325737546369
0.6,70,Cohort 1 mean,0.9936258551894538
0.6,70,Cohort 2 mean,0.9932558000609426
0.6,70,Overall mean,0.993440827625198
0.6,60,Cohort 1 mean,0.9858227141858852
0.6,60,Cohort 2 mean,0.863162717428696
0.6,60,Overall mean,0.9244927158072904
0.6,50,Cohort 1 mean,0.25448896188900294
0.6,50,Cohort 2 mean,0.3978177350376031
0.6,50,Overall mean,0.326153348463303
0.6,80,Cohort 1 mean,0.9947280904120888
0.6,80,Cohort 2 mean,0.9917280226121412
0.6,80,Overall mean,0.993228056512115
0.6,10,Cohort 1 mean,0.00982128663128591
0.6,10,Cohort 2 mean,0.00895264459587049
0.6,10,Overall mean,0.00916980510472434
0.6,90,Cohort 1 mean,0.9928477944712872
0.6,90,Cohort 2 mean,0.9933017754110756
0.6,90,Overall mean,0.9930747849411816
0.6,20,Cohort 1 mean,0.00980982357985137
0.6,20,Cohort 2 mean,0.00797829509698002
0.6,20,Overall mean,0.00843617721769786
0.6,30,Cohort 1 mean,0.00649959065517043
0.6,30,Cohort 2 mean,0.00861869809217171
0.6,30,Overall mean,0.00808892123292139
0.6,45,Cohort 1 mean,0.24279033654504767
0.6,45,Cohort 2 mean,0.444086916743739
0.6,45,Overall mean,0.39376277169406626
0.6,35,Cohort 1 mean,0.00994076896684357
0.6,35,Cohort 2 mean,0.00854102106899552
0.6,35,Overall mean,0.00889095804345753
0.6,40,Cohort 1 mean,0.01019967804536899
0.6,40,Cohort 2 mean,0.08692284746107672
0.6,40,Overall mean,0.06774205510714978
0.6,50,Cohort 1 mean,0.11981133817806496
0.6,50,Cohort 2 mean,0.5974317117735898
0.6,50,Overall mean,0.4780266183747086
0.6,60,Cohort 1 mean,0.6961830792854962
0.6,60,Cohort 2 mean,0.7991312997676879
0.6,60,Overall mean,0.7733942446471399
0.6,70,Cohort 1 mean,0.98975131306127
0.6,70,Cohort 2 mean,0.9929973501214774
0.6,70,Overall mean,0.9921858408564256
0.6,80,Cohort 1 mean,0.9889849103164676
0.6,80,Cohort 2 mean,0.9897460384805984
0.6,80,Overall mean,0.989555756439566
